,player_1_won,player_2_won,date,maxw,maxl,avgw,avgl
0,0,1,2000-01-03,,,,
1,0,1,2000-01-03,,,,
2,1,0,2000-01-03,,,,
3,1,0,2000-01-03,,,,
47,1,0,2000-01-10,,,,
46,1,0,2000-01-10,,,,
45,1,0,2000-01-10,,,,
44,0,1,2000-01-10,,,,
43,0,1,2000-01-10,,,,
42,0,1,2000-01-10,,,,
40,0,1,2000-01-10,,,,
48,1,0,2000-01-10,,,,
39,1,0,2000-01-10,,,,
38,1,0,2000-01-10,,,,
37,0,1,2000-01-10,,,,
36,0,1,2000-01-10,,,,
41,0,1,2000-01-10,,,,
49,1,0,2000-01-10,,,,
51,0,1,2000-01-10,,,,
35,1,0,2000-01-10,,,,
52,1,0,2000-01-10,,,,
53,1,0,2000-01-10,,,,
54,0,1,2000-01-10,,,,
55,0,1,2000-01-10,,,,
56,0,1,2000-01-10,,,,
57,1,0,2000-01-10,,,,
58,0,1,2000-01-10,,,,
59,0,1,2000-01-10,,,,
60,0,1,2000-01-10,,,,
61,1,0,2000-01-10,,,,
63,0,1,2000-01-10,,,,
64,1,0,2000-01-10,,,,
50,1,0,2000-01-10,,,,
34,0,1,2000-01-10,,,,
62,0,1,2000-01-10,,,,
32,0,1,2000-01-10,,,,
33,0,1,2000-01-10,,,,
5,0,1,2000-01-10,,,,
6,1,0,2000-01-10,,,,
7,1,0,2000-01-10,,,,
8,1,0,2000-01-10,,,,
9,0,1,2000-01-10,,,,
10,1,0,2000-01-10,,,,
11,1,0,2000-01-10,,,,
12,0,1,2000-01-10,,,,
13,0,1,2000-01-10,,,,
14,0,1,2000-01-10,,,,
15,1,0,2000-01-10,,,,
16,1,0,2000-01-10,,,,
17,0,1,2000-01-10,,,,
4,1,0,2000-01-10,,,,
19,0,1,2000-01-10,,,,
18,0,1,2000-01-10,,,,
30,0,1,2000-01-10,,,,
31,0,1,2000-01-10,,,,
29,0,1,2000-01-10,,,,
28,1,0,2000-01-10,,,,
26,0,1,2000-01-10,,,,
27,1,0,2000-01-10,,,,
24,1,0,2000-01-10,,,,
23,1,0,2000-01-10,,,,
22,0,1,2000-01-10,,,,
21,1,0,2000-01-10,,,,
20,1,0,2000-01-10,,,,
25,1,0,2000-01-10,,,,
147,1,0,2000-01-17,,,,
145,0,1,2000-01-17,,,,
146,1,0,2000-01-17,,,,
148,0,1,2000-01-17,,,,
154,1,0,2000-01-17,,,,
150,1,0,2000-01-17,,,,
151,0,1,2000-01-17,,,,
152,1,0,2000-01-17,,,,
153,1,0,2000-01-17,,,,
144,1,0,2000-01-17,,,,
155,0,1,2000-01-17,,,,
149,1,0,2000-01-17,,,,
143,0,1,2000-01-17,,,,
137,1,0,2000-01-17,,,,
141,0,1,2000-01-17,,,,
140,0,1,2000-01-17,,,,
139,1,0,2000-01-17,,,,
138,1,0,2000-01-17,,,,
136,1,0,2000-01-17,,,,
135,1,0,2000-01-17,,,,
134,0,1,2000-01-17,,,,
133,0,1,2000-01-17,,,,
132,0,1,2000-01-17,,,,
131,1,0,2000-01-17,,,,
130,0,1,2000-01-17,,,,
156,0,1,2000-01-17,,,,
129,1,0,2000-01-17,,,,
142,1,0,2000-01-17,,,,
157,1,0,2000-01-17,,,,
172,1,0,2000-01-17,,,,
159,0,1,2000-01-17,,,,
128,0,1,2000-01-17,,,,
188,0,1,2000-01-17,,,,
187,1,0,2000-01-17,,,,
186,0,1,2000-01-17,,,,
184,0,1,2000-01-17,,,,
183,1,0,2000-01-17,,,,
182,1,0,2000-01-17,,,,
181,0,1,2000-01-17,,,,
180,0,1,2000-01-17,,,,
179,1,0,2000-01-17,,,,
178,1,0,2000-01-17,,,,
177,1,0,2000-01-17,,,,
176,1,0,2000-01-17,,,,
